target,iteration,red_count,red_event_count,red_event_rate
broad_PLP_to_non_PLP_or_missing,245,5,4,0.8
broad_PLP_to_non_PLP_or_missing,246,4,4,1.0
broad_PLP_to_non_PLP_or_missing,247,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,248,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,249,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,250,2,0,0.0
broad_PLP_to_non_PLP_or_missing,251,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,252,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,253,1,1,1.0
broad_PLP_to_non_PLP_or_missing,254,4,2,0.5
broad_PLP_to_non_PLP_or_missing,255,2,1,0.5
broad_PLP_to_non_PLP_or_missing,256,5,3,0.6
broad_PLP_to_non_PLP_or_missing,257,2,0,0.0
broad_PLP_to_non_PLP_or_missing,258,1,0,0.0
broad_PLP_to_non_PLP_or_missing,259,1,1,1.0
broad_PLP_to_non_PLP_or_missing,260,5,4,0.8
broad_PLP_to_non_PLP_or_missing,261,4,4,1.0
broad_PLP_to_non_PLP_or_missing,262,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,263,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,264,4,2,0.5
broad_PLP_to_non_PLP_or_missing,265,1,0,0.0
broad_PLP_to_non_PLP_or_missing,266,4,2,0.5
broad_PLP_to_non_PLP_or_missing,267,5,3,0.6
broad_PLP_to_non_PLP_or_missing,268,6,3,0.5
broad_PLP_to_non_PLP_or_missing,269,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,270,2,2,1.0
broad_PLP_to_non_PLP_or_missing,271,3,0,0.0
broad_PLP_to_non_PLP_or_missing,272,5,2,0.4
broad_PLP_to_non_PLP_or_missing,273,5,3,0.6
broad_PLP_to_non_PLP_or_missing,274,3,0,0.0
broad_PLP_to_non_PLP_or_missing,275,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,276,1,1,1.0
broad_PLP_to_non_PLP_or_missing,277,2,2,1.0
broad_PLP_to_non_PLP_or_missing,278,9,4,0.4444444444444444
broad_PLP_to_non_PLP_or_missing,279,4,2,0.5
broad_PLP_to_non_PLP_or_missing,280,3,3,1.0
broad_PLP_to_non_PLP_or_missing,281,1,1,1.0
broad_PLP_to_non_PLP_or_missing,282,6,4,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,283,4,0,0.0
broad_PLP_to_non_PLP_or_missing,284,2,1,0.5
broad_PLP_to_non_PLP_or_missing,285,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,286,8,6,0.75
broad_PLP_to_non_PLP_or_missing,287,5,3,0.6
broad_PLP_to_non_PLP_or_missing,288,4,3,0.75
broad_PLP_to_non_PLP_or_missing,289,2,0,0.0
broad_PLP_to_non_PLP_or_missing,290,6,3,0.5
broad_PLP_to_non_PLP_or_missing,291,1,0,0.0
broad_PLP_to_non_PLP_or_missing,292,8,3,0.375
broad_PLP_to_non_PLP_or_missing,293,4,3,0.75
broad_PLP_to_non_PLP_or_missing,294,4,0,0.0
broad_PLP_to_non_PLP_or_missing,295,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,296,2,1,0.5
broad_PLP_to_non_PLP_or_missing,297,5,1,0.2
broad_PLP_to_non_PLP_or_missing,298,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,299,5,4,0.8
broad_PLP_to_non_PLP_or_missing,300,7,5,0.7142857142857143
broad_PLP_to_non_PLP_or_missing,301,5,2,0.4
broad_PLP_to_non_PLP_or_missing,302,2,1,0.5
broad_PLP_to_non_PLP_or_missing,303,5,3,0.6
broad_PLP_to_non_PLP_or_missing,304,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,305,4,0,0.0
broad_PLP_to_non_PLP_or_missing,306,2,2,1.0
broad_PLP_to_non_PLP_or_missing,307,5,2,0.4
broad_PLP_to_non_PLP_or_missing,308,4,1,0.25
broad_PLP_to_non_PLP_or_missing,309,6,3,0.5
broad_PLP_to_non_PLP_or_missing,310,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,311,5,4,0.8
broad_PLP_to_non_PLP_or_missing,312,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,313,2,2,1.0
broad_PLP_to_non_PLP_or_missing,314,2,1,0.5
broad_PLP_to_non_PLP_or_missing,315,6,5,0.8333333333333334
broad_PLP_to_non_PLP_or_missing,316,2,1,0.5
broad_PLP_to_non_PLP_or_missing,317,1,1,1.0
broad_PLP_to_non_PLP_or_missing,318,2,1,0.5
broad_PLP_to_non_PLP_or_missing,319,4,2,0.5
broad_PLP_to_non_PLP_or_missing,320,4,4,1.0
broad_PLP_to_non_PLP_or_missing,321,8,2,0.25
broad_PLP_to_non_PLP_or_missing,322,9,4,0.4444444444444444
broad_PLP_to_non_PLP_or_missing,323,7,6,0.8571428571428571
broad_PLP_to_non_PLP_or_missing,324,3,3,1.0
broad_PLP_to_non_PLP_or_missing,325,4,1,0.25
broad_PLP_to_non_PLP_or_missing,326,4,2,0.5
broad_PLP_to_non_PLP_or_missing,327,4,3,0.75
broad_PLP_to_non_PLP_or_missing,328,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,329,1,0,0.0
broad_PLP_to_non_PLP_or_missing,330,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,331,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,332,5,3,0.6
broad_PLP_to_non_PLP_or_missing,333,2,0,0.0
broad_PLP_to_non_PLP_or_missing,334,6,3,0.5
broad_PLP_to_non_PLP_or_missing,335,2,0,0.0
broad_PLP_to_non_PLP_or_missing,336,4,1,0.25
broad_PLP_to_non_PLP_or_missing,337,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,338,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,339,4,1,0.25
broad_PLP_to_non_PLP_or_missing,340,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,341,4,2,0.5
broad_PLP_to_non_PLP_or_missing,342,3,3,1.0
broad_PLP_to_non_PLP_or_missing,343,2,1,0.5
broad_PLP_to_non_PLP_or_missing,344,2,2,1.0
broad_PLP_to_non_PLP_or_missing,345,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,346,4,1,0.25
broad_PLP_to_non_PLP_or_missing,347,5,3,0.6
broad_PLP_to_non_PLP_or_missing,348,9,5,0.5555555555555556
broad_PLP_to_non_PLP_or_missing,349,5,2,0.4
broad_PLP_to_non_PLP_or_missing,350,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,351,8,5,0.625
broad_PLP_to_non_PLP_or_missing,352,4,1,0.25
broad_PLP_to_non_PLP_or_missing,353,2,1,0.5
broad_PLP_to_non_PLP_or_missing,354,6,6,1.0
broad_PLP_to_non_PLP_or_missing,355,1,1,1.0
broad_PLP_to_non_PLP_or_missing,356,7,5,0.7142857142857143
broad_PLP_to_non_PLP_or_missing,357,9,6,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,358,2,2,1.0
broad_PLP_to_non_PLP_or_missing,359,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,360,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,361,5,2,0.4
broad_PLP_to_non_PLP_or_missing,362,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,363,5,4,0.8
broad_PLP_to_non_PLP_or_missing,364,2,1,0.5
broad_PLP_to_non_PLP_or_missing,365,4,3,0.75
broad_PLP_to_non_PLP_or_missing,366,1,1,1.0
broad_PLP_to_non_PLP_or_missing,367,1,1,1.0
broad_PLP_to_non_PLP_or_missing,368,3,0,0.0
broad_PLP_to_non_PLP_or_missing,369,2,1,0.5
broad_PLP_to_non_PLP_or_missing,370,2,1,0.5
broad_PLP_to_non_PLP_or_missing,371,5,3,0.6
broad_PLP_to_non_PLP_or_missing,372,5,2,0.4
broad_PLP_to_non_PLP_or_missing,373,1,0,0.0
broad_PLP_to_non_PLP_or_missing,374,7,5,0.7142857142857143
broad_PLP_to_non_PLP_or_missing,375,4,1,0.25
broad_PLP_to_non_PLP_or_missing,376,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,377,4,0,0.0
broad_PLP_to_non_PLP_or_missing,378,5,2,0.4
broad_PLP_to_non_PLP_or_missing,379,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,380,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,381,2,2,1.0
broad_PLP_to_non_PLP_or_missing,382,1,1,1.0
broad_PLP_to_non_PLP_or_missing,383,4,1,0.25
broad_PLP_to_non_PLP_or_missing,384,7,4,0.5714285714285714
broad_PLP_to_non_PLP_or_missing,385,4,1,0.25
broad_PLP_to_non_PLP_or_missing,386,3,3,1.0
broad_PLP_to_non_PLP_or_missing,387,1,0,0.0
broad_PLP_to_non_PLP_or_missing,388,5,4,0.8
broad_PLP_to_non_PLP_or_missing,389,4,3,0.75
broad_PLP_to_non_PLP_or_missing,390,4,1,0.25
